"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2011,"EL","RAT","M","TOTAL","Total","Males","Ratio",6.14,
2012,"EL","RAT","M","TOTAL","Total","Males","Ratio",6.86,
2013,"EL","RAT","M","TOTAL","Total","Males","Ratio",6.64,
2014,"EL","RAT","M","TOTAL","Total","Males","Ratio",6.63,
2015,"EL","RAT","M","TOTAL","Total","Males","Ratio",6.84,
2016,"EL","RAT","M","TOTAL","Total","Males","Ratio",6.78,
2017,"EL","RAT","M","TOTAL","Total","Males","Ratio",6.26,
2018,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.65,
2019,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.19,
2020,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.36,
2021,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.89,
2022,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.22,
2023,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.3,
2024,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.35,
2025,"EL","RAT","M","TOTAL","Total","Males","Ratio",5.14,
2003,"EL","RAT","F","TOTAL","Total","Females","Ratio",6.34,"b"
2004,"EL","RAT","F","TOTAL","Total","Females","Ratio",6.05,
2005,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.84,
2006,"EL","RAT","F","TOTAL","Total","Females","Ratio",6.06,
2007,"EL","RAT","F","TOTAL","Total","Females","Ratio",6.22,
2008,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.81,
2009,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.72,
2010,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.64,
2011,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.87,
2012,"EL","RAT","F","TOTAL","Total","Females","Ratio",6.5,
2013,"EL","RAT","F","TOTAL","Total","Females","Ratio",6.46,
2014,"EL","RAT","F","TOTAL","Total","Females","Ratio",6.33,
2015,"EL","RAT","F","TOTAL","Total","Females","Ratio",6.18,
2016,"EL","RAT","F","TOTAL","Total","Females","Ratio",6.31,
2017,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.97,
2018,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.38,
2019,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.04,
2020,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.17,
2021,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.69,
2022,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.21,
2023,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.25,
2024,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.16,
2025,"EL","RAT","F","TOTAL","Total","Females","Ratio",5.18,
2003,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",6.39,"b"
2004,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",5.98,
2005,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",5.94,
2006,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",6.39,
2007,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",6.26,
2008,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",6.2,
2009,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",6.21,
2010,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",5.95,
2011,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",6.4,
2012,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",7.35,
2013,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",7.46,
2014,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",7.29,
2015,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",7.35,
2016,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",7.41,
2017,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",6.73,
2018,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",6.07,
2019,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",5.59,
2020,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",5.68,
2021,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",6.38,
2022,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",5.58,
2023,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",5.68,
2024,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",5.68,
2025,"EL","RAT","T","Y_LT65","Less than 65 years","Total","Ratio",5.48,
2003,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",6.49,"b"
2004,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",5.86,
2005,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",5.82,
2006,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",6.22,
2007,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",6.13,
2008,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",6.23,
2009,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",6.1,
2010,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",5.89,
2011,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",6.39,
2012,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",7.35,
2013,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",7.44,
2014,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",7.3,
2015,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",7.62,
2016,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",7.68,
2017,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",6.82,
2018,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",6.15,
2019,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",5.62,
2020,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",5.72,
2021,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",6.42,
2022,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",5.53,
2023,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",5.61,
2024,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",5.71,
2025,"EL","RAT","M","Y_LT65","Less than 65 years","Males","Ratio",5.35,
2003,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.32,"b"
2004,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.12,
2005,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",5.93,
2006,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.29,
2007,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.39,
2008,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.18,
2009,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.19,
2010,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6,
2011,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.34,
2012,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",7.49,
2013,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",7.48,
2014,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",7.14,
2015,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",7.05,
2016,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",7.23,
2017,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.66,
2018,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.01,
2019,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",5.55,
2020,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",5.65,
2021,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",6.35,
2022,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",5.65,
2023,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",5.74,
2024,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",5.63,
2025,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",5.62,
2003,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",5.72,"b"
2004,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",5.07,
2005,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",5.04,
2006,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.8,
2007,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.84,
2008,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.48,
2009,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.13,
2010,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.13,
2011,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.47,
2012,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.47,
2013,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",3.92,
2014,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.13,
2015,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.08,
2016,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",3.94,
2017,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.16,
2018,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",3.86,
2019,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",3.76,
2020,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",3.96,
2021,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.23,
2022,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.17,
2023,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.15,
2024,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.04,
2025,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",4.19,
2003,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",5.72,"b"
2004,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",5.04,
2005,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.94,
2006,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",5.01,
2007,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.85,
2008,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.63,
2009,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.24,
2010,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.22,
2011,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.78,
2012,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.76,
2013,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.04,
2014,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.15,
2015,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.2,
2016,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",3.99,
2017,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.25,
2018,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",3.97,
2019,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",3.85,
2020,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",3.97,
2021,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.28,
2022,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.26,
2023,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.31,
2024,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.24,
2025,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",4.42,
2003,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",5.7,"b"
2004,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",5.06,
2005,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",5.1,
2006,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.59,
2007,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.83,
2008,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.31,
2009,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.01,
2010,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.03,
2011,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.19,
2012,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.21,
2013,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",3.83,
2014,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.02,
2015,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",3.94,
2016,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",3.92,
2017,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.06,
2018,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",3.75,
2019,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",3.67,
2020,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",3.92,
2021,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.13,
2022,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",4.02,
2023,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",3.94,
2024,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",3.82,
2025,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",3.94,
