"time","geo","unit","sex","age","age_label","sex_label","unit_label","value","flag"
2018,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.31,
2019,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.24,
2020,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.29,
2021,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.28,
2022,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.27,
2023,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.33,
2024,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.29,
2025,"EL","RAT","F","Y_LT65","Less than 65 years","Females","Ratio",2.3,
2007,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.3,
2008,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.2,
2009,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.13,
2010,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.15,
2011,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.25,
2012,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.14,
2013,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.01,
2014,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.07,
2015,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.05,
2016,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2,
2017,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.07,
2018,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.04,
2019,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.01,
2020,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.11,
2021,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.16,
2022,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.08,
2023,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.11,
2024,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.06,
2025,"EL","RAT","T","Y_GE65","65 years or over","Total","Ratio",2.14,
2007,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.3,
2008,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.23,
2009,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.1,
2010,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.19,
2011,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.38,
2012,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.27,
2013,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.06,
2014,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.1,
2015,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.08,
2016,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.02,
2017,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.09,
2018,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.07,
2019,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.04,
2020,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.11,
2021,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.17,
2022,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.1,
2023,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.17,
2024,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.14,
2025,"EL","RAT","M","Y_GE65","65 years or over","Males","Ratio",2.23,
2007,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.31,
2008,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.14,
2009,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.13,
2010,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.11,
2011,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.09,
2012,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.05,
2013,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",1.96,
2014,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.05,
2015,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2,
2016,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",1.97,
2017,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.03,
2018,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.01,
2019,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2,
2020,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.1,
2021,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.12,
2022,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.05,
2023,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.05,
2024,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2,
2025,"EL","RAT","F","Y_GE65","65 years or over","Females","Ratio",2.03,
